title,type,release_year,genres,rating,director,cast,platform,description
Baahubali: The Beginning,Movie,2015,"Action, Drama",8.5,S.S. Rajamouli,"Prabhas, Rana Daggubati, Anushka Shetty",Theatrical,"A young man's journey to reclaim his kingdom from his evil uncle, featuring epic battles and stunning visuals."
Baahubali 2: The Conclusion,Movie,2017,"Action, Drama",8.8,S.S. Rajamouli,"Prabhas, Rana Daggubati, Anushka Shetty",Theatrical,"The epic conclusion of the Baahubali saga, revealing the truth behind the kingdom's fall and the hero's quest for justice."
RRR,Movie,2022,"Action, Drama",8.7,S.S. Rajamouli,"N.T. Rama Rao Jr., Ram Charan",Theatrical,"A fictional story about two Indian revolutionaries, their friendship and their fight against British colonial rule."
Pushpa: The Rise,Movie,2021,"Action, Crime",7.6,Sukumar,"Allu Arjun, Rashmika Mandanna",Theatrical,"A story of a coolie who rises to become a powerful sandalwood smuggler, facing numerous challenges along the way."
Ala Vaikunthapurramuloo,Movie,2020,"Action, Comedy",7.8,Trivikram Srinivas,"Allu Arjun, Pooja Hegde",Theatrical,"A man discovers he was switched at birth and must navigate his new life in a wealthy family while dealing with corporate politics."
Sye Raa Narasimha Reddy,Movie,2019,"Action, Drama",7.5,Surender Reddy,"Chiranjeevi, Nayanthara",Theatrical,"The story of Uyyalawada Narasimha Reddy, one of the first freedom fighters in India against British rule."
Sarileru Neekevvaru,Movie,2020,"Action, Comedy",7.4,Anil Ravipudi,"Mahesh Babu, Rashmika Mandanna",Theatrical,"An army officer visits a small town to help a colleague's family and ends up fighting against corruption."
Maharshi,Movie,2019,Drama,7.7,Vamshi Paidipally,"Mahesh Babu, Pooja Hegde",Theatrical,"A successful businessman returns to his roots to help farmers and transform agriculture in his village."
Bharat Ane Nenu,Movie,2018,"Drama, Political",7.8,Koratala Siva,"Mahesh Babu, Kiara Advani",Theatrical,"A young man becomes the Chief Minister of Andhra Pradesh and fights against corruption and political challenges."
Rangasthalam,Movie,2018,Drama,8.2,Sukumar,"Ram Charan, Samantha",Theatrical,"Set in the 1980s, a hearing-impaired man fights against a corrupt village president to bring justice to his people."
Arjun Reddy,Movie,2017,"Drama, Romance",8.1,Sandeep Reddy Vanga,"Vijay Deverakonda, Shalini Pandey",Theatrical,"A brilliant but self-destructive surgeon's journey through love, loss, and redemption."
Jersey,Movie,2019,"Drama, Sports",8.3,Gowtam Tinnanuri,"Nani, Shraddha Srinath",Theatrical,"A failed cricketer decides to make a comeback at the age of 36 to fulfill his son's wish."
Eega,Movie,2012,"Fantasy, Action",8.0,S.S. Rajamouli,"Nani, Samantha",Theatrical,"A man reincarnates as a housefly to seek revenge on his murderer."
Magadheera,Movie,2009,"Action, Fantasy",8.2,S.S. Rajamouli,"Ram Charan, Kajal Aggarwal",Theatrical,"A story of reincarnation and eternal love spanning across 400 years."
Pokiri,Movie,2006,"Action, Crime",8.4,Puri Jagannadh,"Mahesh Babu, Ileana D'Cruz",Theatrical,"An undercover cop's mission to bring down a powerful crime syndicate."
Gabbar Singh,Movie,2012,"Action, Comedy",7.9,Harish Shankar,"Pawan Kalyan, Shruti Haasan",Theatrical,"A remake of Dabangg, following a fearless cop's fight against corruption."
Attarintiki Daredi,Movie,2013,"Comedy, Drama",7.8,Trivikram Srinivas,"Pawan Kalyan, Samantha",Theatrical,"A wealthy businessman's grandson goes undercover as a driver to reunite his grandfather with his estranged daughter."
Yevadu,Movie,2014,"Action, Drama",7.7,Vamsi Paidipally,"Ram Charan, Shruti Haasan",Theatrical,"A man with a new face seeks revenge while protecting a woman from dangerous criminals."
Manam,Movie,2014,"Drama, Fantasy",8.1,Vikram K. Kumar,"Nagarjuna, Naga Chaitanya",Theatrical,"A heartwarming story of reincarnation and family bonds spanning across three generations."
Aravinda Sametha Veera Raghava,Movie,2018,"Action, Drama",7.7,Trivikram Srinivas,"N.T. Rama Rao Jr., Pooja Hegde",Theatrical,"A young man's quest to end a long-standing feud between two villages."
KGF: Chapter 1,Movie,2018,"Action, Drama",8.2,Prashanth Neel,"Yash, Srinidhi Shetty",Theatrical,"The story of a young man's journey to become the most powerful man in the Kolar Gold Fields."
KGF: Chapter 2,Movie,2022,"Action, Drama",8.5,Prashanth Neel,"Yash, Srinidhi Shetty",Theatrical,"The continuation of Rocky's story as he faces new challenges in his quest for power."
Mayabazar,Movie,1957,"Fantasy, Drama",9.2,K.V. Reddy,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"A classic mythological tale featuring the wedding of Abhimanyu and Sasirekha, with magical elements."
Missamma,Movie,1955,"Comedy, Drama",8.8,L.V. Prasad,"N.T. Rama Rao, Savitri",Theatrical,"A classic comedy about mistaken identities and romantic entanglements."
Gundamma Katha,Movie,1962,"Drama, Family",8.5,Kamalakara Kameswara Rao,"N.T. Rama Rao, Savitri",Theatrical,"A story about family relationships and the importance of unity."
Lava Kusa,Movie,1963,"Mythological, Drama",8.3,C. Pullayya,"N.T. Rama Rao, Anjali Devi",Theatrical,"The story of Rama's twin sons, Lava and Kusa, from the Ramayana."
Shankarabharanam,Movie,1979,"Drama, Musical",9.0,K. Viswanath,"J.V. Somayajulu, Manju Bhargavi",Theatrical,"A classical musician's struggle to preserve traditional music in modern times."
Sagara Sangamam,Movie,1983,"Drama, Musical",8.9,K. Viswanath,"Kamal Haasan, Jayaprada",Theatrical,"A classical dancer's journey through life, love, and art."
Swathi Muthyam,Movie,1985,Drama,8.7,K. Viswanath,"Kamal Haasan, Raadhika",Theatrical,"A story about an autistic man's pure love and his journey to protect a widow and her child."
Geethanjali,Movie,1989,"Drama, Romance",8.6,Mani Ratnam,"Girish Karnad, Revathi",Theatrical,"A poignant love story between two terminally ill patients."
Annamayya,Movie,1997,Biographical,8.4,K. Raghavendra Rao,"Nagarjuna, Bhanupriya",Theatrical,"The life story of the great Telugu poet and devotee Annamayya."
Indra,Movie,2002,"Action, Drama",7.9,B. Gopal,"Chiranjeevi, Sonali Bendre",Theatrical,"A powerful story about a man's fight against corruption and his journey to become a political leader."
Okkadu,Movie,2003,"Action, Drama",8.3,Gunasekhar,"Mahesh Babu, Bhoomika Chawla",Theatrical,"A kabaddi player's journey to protect a woman from a powerful politician."
Arya,Movie,2004,"Romance, Drama",8.1,Sukumar,"Allu Arjun, Anu Mehta",Theatrical,"A story about unconditional love and friendship between three people."
Chatrapathi,Movie,2005,"Action, Drama",8.0,S.S. Rajamouli,"Prabhas, Shriya Saran",Theatrical,"A refugee's journey to find his mother and become a powerful leader."
Bommarillu,Movie,2006,"Romance, Comedy",8.2,Bhaskar,"Siddharth, Genelia D'Souza",Theatrical,"A story about a father-son relationship and the son's journey to find true love."
Happy Days,Movie,2007,"Drama, Romance",8.0,Sekhar Kammula,"Varun Sandesh, Tamannaah",Theatrical,"A coming-of-age story about college life, friendship, and first love."
